Country_Availability,Year,TVShows_Count,Movies_Count,Overall_Count
United Kingdom,2015,263,694,957
United Kingdom,2016,172,287,459
United Kingdom,2017,198,432,630
United Kingdom,2018,322,650,972
United Kingdom,2019,325,701,1026
United Kingdom,2020,357,722,1079
United Kingdom,2021,32,88,120
United States,2015,224,429,653
United States,2016,172,216,388
United States,2017,207,425,632
United States,2018,280,645,925
United States,2019,315,674,989
United States,2020,326,692,1018
United States,2021,29,66,95
